"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
" ",14,12,26,"Mg ","    ",-16214.542,0.03,8333.87,0.001,"  ","*","*",25.98259297,0.03,"stable","0+",-4.004392,-10.375542,-9.353542,-10.614739
" ",13,13,26,"Al ","    ",-12210.15,0.07,8149.765,0.003,"B+",4004.39,0.06,25.98689186,0.07,"7.17e+5 y","5+",-5.06913,2.982392,4.004392,-9.453556
" ",12,14,26,"Si ","   -",-7141.02,0.11,7924.708,0.004,"B+",5069.14,0.08,25.9923338,0.12,"2.2453 s","0+",-18.11102,4.04713,5.06913,-9.166036
" ",11,15,26,"P  ","   x",10970.0,200.0,7198.0,8.0,"B+",18110.0,200.0,26.01178,210.0,"43.7 ms","(3+)",-16.11,17.08902,18.11102,-9.654916
" ",10,16,26,"S  ","   x",27080.0,600.0,6548.0,23.0,"B+",16110.0,630.0,26.02907,640.0,"79 ns","0+",0.0,15.088,16.11,-8.684916
"0",19,8,27,"O  ","   x",44670.0,500.0,6185.0,19.0,"B-",19220.0,630.0,27.04796,540.0,"None","None",19.22,0.0,0.0,-21.924916
" ",18,9,27,"F  ","   x",25450.0,390.0,6868.0,14.0,"B-",18400.0,400.0,27.02732,420.0,"5.0 ms","(5/2+)",18.4,-20.242,-19.22,-13.694916
" ",17,10,27,"Ne ","   x",7050.0,90.0,7520.0,3.0,"B-",12570.0,90.0,27.00757,100.0,"31.5 ms","(3/2+)",12.568,-19.422,-18.4,-9.994916
" ",16,11,27,"Na ","  ++",-5518.0,4.0,7956.95,0.14,"B-",9069.0,4.0,26.994076,4.0,"301 ms","5/2+",9.06861,-13.59,-12.568,-11.232916
" ",15,12,27,"Mg ","  -n",-14586.61,0.05,8263.852,0.002,"B-",2610.25,0.07,26.98434063,0.05,"9.458 m","1/2+",2.61025,-10.09061,-9.06861,-11.857476
" ",14,13,27,"Al ","    ",-17196.86,0.05,8331.553,0.002,"  ","*","*",26.98153841,0.05,"stable","5/2+",-4.81236,-3.63225,-2.61025,-10.0919235
" ",13,14,27,"Si ","   -",-12384.5,0.11,8124.341,0.004,"B+",4812.36,0.1,26.98670469,0.12,"4.16 s","5/2+",-11.6625,3.79036,4.81236,-9.335906
" ",12,15,27,"P  "," p4n",-722.0,26.0,7663.4,1.0,"B+",11662.0,26.0,26.999224,28.0,"260 ms","1/2+",-17.752,10.6405,11.6625,-9.895016
" ",11,16,27,"S  ","   -",17030.0,400.0,6977.0,15.0,"B+",17750.0,400.0,27.01828,430.0,"21 ms","(5/2+)",0.0,16.73,17.752,-9.094916
"0",20,8,28,"O  ","   x",52080.0,700.0,5988.0,25.0,"B-",18340.0,800.0,28.05591,750.0,"None","None",18.34,0.0,0.0,0.0
" ",19,9,28,"F  ","  -n",33740.0,390.0,6615.0,14.0,"B-",22440.0,410.0,28.03622,420.0,"0.046 as","",22.44,-19.362,-18.34,-15.624916
" ",18,10,28,"Ne ","   x",11300.0,130.0,7388.0,5.0,"B-",12290.0,130.0,28.01213,140.0,"18.9 ms","0+",12.288,-23.462,-22.44,-9.624916
" ",17,11,28,"Na ","   x",-988.0,10.0,7799.3,0.4,"B-",14031.0,10.0,27.998939,11.0,"30.5 ms","1+",14.0308,-13.31,-12.288,-10.952916
" ",16,12,28,"Mg ","   +",-15018.8,2.0,8272.41,0.07,"B-",1831.8,2.0,27.983876600000002,2.1,"20.915 h","0+",1.83184,-15.0528,-14.0308,-11.492116
" ",15,13,28,"Al ","  -n",-16850.64,0.08,8309.894,0.003,"B-",4642.15,0.08,27.98191009,0.08,"2.245 m","3+",4.6421543,-2.85384,-1.83184,-10.857655
" ",14,14,28,"Si ","    ",-21492.7943,0.0005,8447.744,0.0,"  ","*","*",27.976926535,0.0005,"stable","0+",-14.3450943,-5.6641543,-4.6421543,-9.9841413
" ",13,15,28,"P  ","    ",-7147.7,1.2,7907.48,0.04,"B+",14345.1,1.2,27.992326600000002,1.2,"270.3 ms","3+",-11.2177,13.3230943,14.3450943,-9.523756
" ",12,16,28,"S  ","  --",4070.0,160.0,7479.0,6.0,"B+",11220.0,160.0,28.00437,170.0,"125 ms","0+",-23.45,10.1957,11.2177,-9.099916
" ",11,17,28,"Cl ","   x",27520.0,600.0,6614.0,21.0,"B+",23440.0,620.0,28.02954,640.0,"None","None",0.0,22.428,23.45,-8.224916
"0",20,9,29,"F  ","   x",40150.0,530.0,6444.0,18.0,"B-",21750.0,550.0,29.0431,560.0,"2.5 ms","",21.75,0.0,0.0,-18.254916
" ",19,10,29,"Ne ","   x",18400.0,150.0,7167.0,5.0,"B-",15720.0,150.0,29.01975,160.0,"14.8 ms","(3/2+)",15.72,-22.772,-21.75,-11.354916
" ",18,11,29,"Na ","    ",2680.0,7.0,7682.15,0.25,"B-",13283.0,14.0,29.002877,8.0,"44.1 ms","3/2+",13.283,-16.742,-15.72,-11.074916
" ",17,12,29,"Mg ","   x",-10603.0,11.0,8113.2,0.4,"B-",7605.0,11.0,28.988617,12.0,"1.30 s","3/2+",7.6048,-14.305,-13.283,-10.991916
" ",16,13,29,"Al ","   x",-18207.8,0.3,8348.464,0.012,"B-",3687.3,0.3,28.9804532,0.4,"6.56 m","5/2+",3.6872784,-8.6268,-7.6048,-11.274916
" ",15,14,29,"Si ","    ",-21895.0784,0.0006,8448.635,0.0,"  ","*","*",28.9764946653,0.0006,"stable","1/2+",-4.9422784,-4.7092784,-3.6872784,-11.1272144
" ",14,15,29,"P  ","    ",-16952.8,0.4,8251.236,0.012,"B+",4942.2,0.4,28.981800399999997,0.4,"4.142 s","1/2+",-13.7928,3.9202784,4.9422784,-10.461746
" ",13,16,29,"S  "," +3n",-3160.0,50.0,7748.5,1.7,"B+",13800.0,50.0,28.99661,50.0,"188 ms","(5/2+)",-16.32,12.7708,13.7928,-9.411916
" ",12,17,29,"Cl ","  -p",13160.0,190.0,7159.0,7.0,"B+",16320.0,200.0,29.01413,200.0,"20 ns","(1/2+)",0.0,15.298,16.32,-9.004916
"0",21,9,30,"F  ","   x",48110.0,600.0,6233.0,20.0,"B-",24830.0,650.0,30.05165,640.0,"None","None",24.83,0.0,0.0,0.0
" ",20,10,30,"Ne ","    ",23280.0,250.0,7035.0,8.0,"B-",14810.0,250.0,30.02499,270.0,"7.3 ms","0+",14.805,-25.852,-24.83,-13.804916
" ",19,11,30,"Na ","    ",8475.0,5.0,7501.97,0.16,"B-",17358.0,6.0,30.009098,5.0,"48 ms","2+",17.359,-15.827,-14.805,-12.599916
" ",18,12,30,"Mg ","   x",-8884.0,3.0,8054.51,0.11,"B-",6981.0,4.0,29.990463,4.0,"335 ms","0+",6.9808,-18.381,-17.359,-11.789916
" ",17,13,30,"Al ","   x",-15864.8,2.9,8261.13,0.1,"B-",8568.1,2.9,29.982968,3.0,"3.62 s","3+",8.56816,-8.0028,-6.9808,-11.428716
" ",16,14,30,"Si ","  -n",-24432.96,0.022,8520.654,0.001,"  ","*","*",29.973770137,0.023,"stable","0+",-4.23211,-9.59016,-8.56816,-10.643334
" ",15,15,30,"P  ","   -",-20200.85,0.07,8353.506,0.002,"B+",4232.11,0.06,29.978313489999998,0.07,"2.498 m","1+",-6.1416,3.21011,4.23211,-10.415616
" ",14,16,30,"S  ","   -",-14059.25,0.21,8122.707,0.007,"B+",6141.6,0.2,29.98490677,0.22,"1.178 s","0+",-18.49925,5.1196,6.1416,-9.343146
" ",13,17,30,"Cl ","   x",4440.0,200.0,7480.0,7.0,"B+",18500.0,200.0,30.00477,210.0,"30 ns","(3+)",-16.49,17.47725,18.49925,-8.954916
" ",12,18,30,"Ar "," -pp",20930.0,210.0,6904.0,7.0,"B+",16490.0,280.0,30.02247,220.0,"?","(2+)",0.0,15.468,16.49,-8.574916
"0",22,9,31,"F  "," -nn",56140.0,550.0,6033.0,18.0,"B-",24960.0,610.0,31.06027,590.0,"260 ns","",24.96,0.0,0.0,0.0
" ",21,10,31,"Ne ","    ",31180.0,270.0,6813.0,9.0,"B-",18940.0,270.0,31.03347,290.0,"3.4 ms","(3/2-)",18.934,-25.982,-24.96,-15.914916
" ",20,11,31,"Na ","   x",12246.0,14.0,7398.7,0.5,"B-",15368.0,14.0,31.013147,15.0,"17.0 ms","3/2+",15.368,-19.956,-18.934,-15.628916
" ",19,12,31,"Mg ","   x",-3122.0,3.0,7869.19,0.1,"B-",11829.0,4.0,30.996648,3.0,"236 ms","1/2(+)",11.8287,-16.39,-15.368,-12.596916
" ",18,13,31,"Al ","   x",-14950.7,2.2,8225.52,0.07,"B-",7998.3,2.2,30.9839498,2.4,"644 ms","5/2(+)",7.99834,-12.8507,-11.8287,-11.857616
" ",17,14,31,"Si ","  -n",-22949.04,0.04,8458.291,0.001,"B-",1491.5,0.04,30.975363190000003,0.05,"157.36 m","3/2+",1.491501,-9.02034,-7.99834,-10.787346
" ",16,15,31,"P  ","    ",-24440.541,0.0007,8481.167,0.0,"  ","*","*",30.973761998599997,0.0007,"stable","1/2+",-5.398021,-2.513501,-1.491501,-9.668597
" ",15,16,31,"S  ","    ",-19042.52,0.23,8281.8,0.007,"B+",5398.02,0.23,30.97955701,0.25,"2.5534 s","1/2+",-12.00752,4.376021,5.398021,-9.082936
" ",14,17,31,"Cl ","  --",-7035.0,3.0,7869.21,0.11,"B+",12008.0,3.0,30.992448,4.0,"150 ms","",-18.365,10.98552,12.00752,-8.737916
" ",13,18,31,"Ar ","   -",11330.0,200.0,7252.0,6.0,"B+",18360.0,200.0,31.01216,220.0,"14.4 ms","5/2+",0.0,17.343,18.365,-8.124916
"0",22,10,32,"Ne ","   x",37000.0,500.0,6671.0,16.0,"B-",18360.0,500.0,32.03972,540.0,"3.5 ms","0+",18.36,0.0,0.0,-17.504916
" ",21,11,32,"Na ","   x",18640.0,40.0,7219.9,1.2,"B-",19470.0,40.0,32.02001,40.0,"13.2 ms","(3-,4-)",19.469,-19.382,-18.36,-17.524916
" ",20,12,32,"Mg ","   x",-829.0,3.0,7803.84,0.1,"B-",10270.0,8.0,31.99911,4.0,"86 ms","0+",10.27,-20.491,-19.469,-14.553916
" ",19,13,32,"Al ","   x",-11099.0,7.0,8100.34,0.22,"B-",12978.0,7.0,31.988084,8.0,"33.0 ms","1+",12.97869,-11.292,-10.27,-12.535916
" ",18,14,32,"Si ","   x",-24077.69,0.3,8481.468,0.009,"B-",227.2,0.3,31.9741515,0.3,"153 y","0+",0.22718,-14.00069,-12.97869,-11.483806
" ",17,15,32,"P  ","  -n",-24304.87,0.04,8464.12,0.001,"B-",1710.66,0.04,31.97390764,0.04,"14.268 d","1+",1.7106636,-1.24918,-0.22718,-9.879146
" ",16,16,32,"S  ","    ",-26015.5336,0.0013,8493.129,0.0,"  ","*","*",31.972071174400003,0.0014,"stable","0+",-12.6808336,-2.7326636,-1.7106636,-6.9476553
" ",15,17,32,"Cl ","    ",-13334.7,0.6,8072.404,0.018,"B+",12680.9,0.6,31.985684600000003,0.6,"298 ms","1+",-11.1343,11.6588336,12.6808336,-8.611916
" ",14,18,32,"Ar ","   x",-2200.4,1.8,7700.01,0.06,"B+",11134.3,1.9,31.9976378,1.9,"98 ms","0+",-23.3004,10.1123,11.1343,-8.695316
" ",13,19,32,"K  ","   x",21100.0,400.0,6947.0,13.0,"B+",23300.0,400.0,32.02265,430.0,"None","None",0.0,22.2784,23.3004,-8.844916
"0",23,10,33,"Ne ","   x",46000.0,600.0,6440.0,18.0,"B-",22220.0,750.0,33.04938,640.0,"180 ns","",22.22,0.0,0.0,0.0
" ",22,11,33,"Na ","   x",23780.0,450.0,7090.0,14.0,"B-",18820.0,450.0,33.02553,480.0,"8.0 ms","(3/2+)",18.8177,-23.242,-22.22,-18.794916
" ",21,12,33,"Mg ","   x",4962.3,2.9,7636.45,0.09,"B-",13460.0,8.0,33.005327,3.0,"90.5 ms","3/2(-)",13.4593,-19.8397,-18.8177,-15.862616
" ",20,13,33,"Al ","   x",-8497.0,7.0,8020.62,0.21,"B-",12017.0,7.0,32.990878,8.0,"41.7 ms","(5/2)+",12.0173,-14.4813,-13.4593,-13.601916
" ",19,14,33,"Si ","   x",-20514.3,0.7,8361.059,0.021,"B-",5823.0,1.3,32.977977,0.8,"6.11 s","3/2+",5.823,-13.0393,-12.0173,-12.336216
" ",18,15,33,"P  ","   +",-26337.3,1.1,8513.81,0.03,"B-",248.5,1.1,32.9717257,1.2,"25.35 d","1/2+",0.2485543,-6.845,-5.823,-10.554416
" ",17,16,33,"S  ","    ",-26585.8543,0.0014,8497.63,0.0,"  ","*","*",32.9714589099,0.0015,"stable","3/2+",-5.5825543,-1.2705543,-0.2485543,-7.1156919
" ",16,17,33,"Cl ","    ",-21003.3,0.4,8304.755,0.012,"B+",5582.5,0.4,32.977452,0.4,"2.511 s","3/2+",-11.619,4.5605543,5.5825543,-6.475416
" ",15,18,33,"Ar ","   x",-9384.3,0.4,7928.955,0.012,"B+",11619.0,0.6,32.9899255,0.4,"173.0 ms","1/2+",-16.4243,10.597,11.619,-8.649216
" ",14,19,33,"K  ","   x",7040.0,200.0,7407.0,6.0,"B+",16430.0,200.0,33.00756,210.0,"25 ns","",0.0,15.4023,16.4243,-8.544916
"0",24,10,34,"Ne "," -nn",52840.0,510.0,6287.0,15.0,"B-",21160.0,790.0,34.05673,550.0,"60 ns","0+",21.16,0.0,0.0,0.0
" ",23,11,34,"Na ","   x",31680.0,600.0,6886.0,18.0,"B-",23360.0,600.0,34.03401,640.0,"5.5 ms","",23.357,-22.182,-21.16,-18.854916
" ",22,12,34,"Mg ","   x",8323.0,29.0,7550.4,0.8,"B-",11324.0,29.0,34.00894,30.0,"20 ms","0+",11.323,-24.379,-23.357,-17.381916
" ",21,13,34,"Al ","   x",-3000.0,3.0,7860.43,0.09,"B-",16957.0,14.0,33.996779,3.0,"56.3 ms","(4-)",16.957,-12.345,-11.323,-13.899916
" ",20,14,34,"Si "," +pp",-19957.0,14.0,8336.1,0.4,"B-",4592.0,14.0,33.978575,15.0,"2.77 s","0+",4.5917,-17.979,-16.957,-13.497916
" ",19,15,34,"P  ","   x",-24548.7,0.8,8448.185,0.024,"B-",5383.0,0.8,33.9736459,0.9,"12.43 s","1+",5.38299,-5.6137,-4.5917,-11.108816
" ",18,16,34,"S  ","    ",-29931.69,0.04,8583.498,0.001,"  ","*","*",33.96786701,0.05,"stable","0+",-5.49161,-6.40499,-5.38299,-7.923646
" ",17,17,34,"Cl ","    ",-24440.08,0.05,8398.97,0.002,"B+",5491.6,0.04,33.97376249,0.05,"1.5266 s","0+",-6.06179,4.46961,5.49161,-6.664146
" ",16,18,34,"Ar ","    ",-18378.29,0.08,8197.672,0.002,"B+",6061.79,0.06,33.980270090000005,0.08,"843.8 ms","0+",-17.15829,5.03979,6.06179,-6.743956
" ",15,19,34,"K  ","   x",-1220.0,200.0,7670.0,6.0,"B+",17160.0,200.0,33.99869,210.0,"25 ns","",-15.07,16.13629,17.15829,-8.084916
" ",14,20,34,"Ca ","   x",13850.0,300.0,7204.0,9.0,"B+",15070.0,360.0,34.01487,320.0,"35 ns","0+",0.0,14.048,15.07,-9.504916
"0",24,11,35,"Na ","  -n",38230.0,670.0,6733.0,19.0,"B-",22590.0,720.0,35.04104,720.0,"1.5 ms","",22.59,0.0,0.0,-20.334916
" ",23,12,35,"Mg ","   x",15640.0,270.0,7356.0,8.0,"B-",15860.0,270.0,35.01679,290.0,"70 ms","",15.864,-23.612,-22.59,-17.964916
" ",22,13,35,"Al ","   x",-224.0,7.0,7787.12,0.21,"B-",14170.0,40.0,34.99976,8.0,"37.7 ms","(5/2+)",14.166,-16.886,-15.864,-14.894916
" ",21,14,35,"Si ","2p-n",-14390.0,40.0,8169.6,1.0,"B-",10470.0,40.0,34.98455,40.0,"0.78 s","(7/2-)",10.4678,-15.188,-14.166,-13.692916
" ",20,15,35,"P  ","  +p",-24857.8,1.9,8446.25,0.05,"B-",3988.4,1.9,34.9733141,2.0,"47.3 s","1/2+",3.98841,-11.4898,-10.4678,-12.332016
" ",19,16,35,"S  ","    ",-28846.21,0.04,8537.85,0.001,"B-",167.322,0.026,34.969032320000004,0.04,"87.37 d","3/2+",0.16732,-5.01041,-3.98841,-8.322086
" ",18,17,35,"Cl ","    ",-29013.53,0.04,8520.278,0.001,"  ","*","*",34.96885269,0.04,"stable","3/2+",-5.96623,-1.18932,-0.16732,-6.997905
" ",17,18,35,"Ar ","   -",-23047.3,0.7,8327.461,0.019,"B+",5966.2,0.7,34.9752577,0.7,"1.7756 s","3/2+",-11.8744,4.94423,5.96623,-6.429696
" ",16,19,35,"K  ","  4n",-11172.9,0.5,7965.84,0.015,"B+",11874.4,0.9,34.9880054,0.6,"178 ms","3/2+",-15.9629,10.8524,11.8744,-6.562816
" ",15,20,35,"Ca ","   x",4790.0,200.0,7487.0,6.0,"B+",15960.0,200.0,35.00514,210.0,"25.7 ms","",0.0,14.9409,15.9629,-8.964916
"0",25,11,36,"Na ","  -n",46300.0,680.0,6546.0,19.0,"B-",25920.0,970.0,36.04971,730.0,"180 ns","",25.92,0.0,0.0,0.0
" ",24,12,36,"Mg ","   x",20380.0,690.0,7244.0,19.0,"B-",14430.0,710.0,36.02188,740.0,"3.9 ms","0+",14.43,-26.942,-25.92,-19.044916
" ",23,13,36,"Al ","   x",5950.0,150.0,7624.0,4.0,"B-",18390.0,170.0,36.00639,160.0,"90 ms","",18.39,-15.452,-14.43,-15.114916
" ",22,14,36,"Si ","   x",-12440.0,70.0,8112.5,2.0,"B-",7810.0,70.0,35.98665,80.0,"0.45 s","0+",7.811,-19.412,-18.39,-14.035916
" ",21,15,36,"P  ","   +",-20251.0,13.0,8307.9,0.4,"B-",10413.0,13.0,35.97826,14.0,"5.6 s","4-",10.41313,-8.833,-7.811,-11.576916
" ",20,16,36,"S  ","    ",-30664.13,0.19,8575.389,0.005,"B-",-1142.13,0.19,35.967080700000004,0.2,"stable","0+",-1.14212,-11.43513,-10.41313,-9.011356
" ",19,17,36,"Cl ","    ",-29522.01,0.04,8521.931,0.001,"B-",709.53,0.04,35.96830682,0.04,"3.01e+5 y","2+",0.70953,0.12012,1.14212,-7.642056
" ",18,18,36,"Ar ","    ",-30231.54,0.027,8519.909,0.001,"  ","*","*",35.967545105,0.029,"stable","0+",-12.81444,-1.73153,-0.70953,-6.6409224
" ",17,19,36,"K  ","    ",-17417.1,0.3,8142.219,0.009,"B+",12814.5,0.3,35.981302,0.4,"342 ms","2+",-10.9671,11.79244,12.81444,-6.507316
" ",16,20,36,"Ca ","  4n",-6450.0,40.0,7815.9,1.1,"B+",10970.0,40.0,35.99307,40.0,"102 ms","0+",-21.8,9.9451,10.9671,-6.674516
" ",15,21,36,"Sc ","   x",15350.0,300.0,7189.0,8.0,"B+",21800.0,300.0,36.01648,320.0,"None","None",0.0,20.778,21.8,-8.174916
"0",26,11,37,"Na "," -nn",53530.0,690.0,6392.0,19.0,"B-",25320.0,980.0,37.05747,740.0,"60 ns","",25.32,0.0,0.0,0.0
" ",25,12,37,"Mg ","  -n",28210.0,700.0,7055.0,19.0,"B-",18400.0,720.0,37.03029,750.0,"8 ms","",18.4,-26.342,-25.32,-20.214916
" ",24,13,37,"Al ","   x",9810.0,180.0,7531.0,5.0,"B-",16380.0,210.0,37.01053,190.0,"10.7 ms","(5/2+)",16.38,-19.422,-18.4,-16.394916
" ",23,14,37,"Si ","   x",-6570.0,110.0,7953.0,3.0,"B-",12420.0,120.0,36.99295,120.0,"90 ms","",12.43,-17.402,-16.38,-13.957216
" ",22,15,37,"P  ","p-2n",-19000.0,40.0,8267.6,1.0,"B-",7900.0,40.0,36.97961,40.0,"2.31 s","(1/2+)",7.89642,-13.452,-12.43,-12.927916
" ",21,16,37,"S  ","  -n",-26896.42,0.2,8459.935,0.005,"B-",4865.12,0.2,36.97112551,0.21,"5.05 m","7/2-",4.86512,-8.91842,-7.89642,-8.807036
" ",20,17,37,"Cl ","    ",-31761.54,0.05,8570.281,0.001,"  ","*","*",36.96590258,0.06,"stable","3/2+",-0.81388,-5.88712,-4.86512,-7.849156
" ",19,18,37,"Ar ","   -",-30947.66,0.21,8527.139,0.006,"B+",813.87,0.2,36.96677631,0.22,"35.011 d","3/2+",-6.14746,-0.20812,0.81388,-6.7867217
" ",18,19,37,"K  ","  -p",-24800.2,0.09,8339.847,0.003,"B+",6147.47,0.23,36.97337589,0.1,"1.225 s","3/2+",-11.6641,5.12546,6.14746,-6.221816
" ",17,20,37,"Ca ","   x",-13136.1,0.6,8003.456,0.017,"B+",11664.1,0.6,36.9858979,0.7,"181.1 ms","3/2+",-16.6561,10.6421,11.6641,-6.176716
" ",16,21,37,"Sc ","   x",3520.0,300.0,7532.0,8.0,"B+",16660.0,300.0,37.00378,320.0,"None","None",0.0,15.6341,16.6561,-5.944916
"0",26,12,38,"Mg ","   x",34070.0,500.0,6928.0,13.0,"B-",17860.0,630.0,38.03658,540.0,"260 ns","0+",17.86,0.0,0.0,-21.194916
" ",25,13,38,"Al ","   x",16210.0,370.0,7377.0,10.0,"B-",20380.0,390.0,38.0174,400.0,"7.6 ms","",20.38,-18.882,-17.86,-17.894916
" ",24,14,38,"Si ","   x",-4170.0,100.0,7892.8,2.8,"B-",10450.0,130.0,37.99552,110.0,"1 us","0+",10.45,-21.402,-20.38,-14.917916
" ",23,15,38,"P  ","   x",-14620.0,70.0,8147.3,1.9,"B-",12240.0,70.0,37.9843,80.0,"0.64 s","(0-:4-)",12.241,-11.472,-10.45,-14.044916
" ",22,16,38,"S  ","   +",-26861.0,7.0,8448.78,0.19,"B-",2937.0,7.0,37.971163,8.0,"170.3 m","0+",2.9371,-13.263,-12.241,-9.328916
" ",21,17,38,"Cl ","  -n",-29798.1,0.1,8505.481,0.003,"B-",4916.72,0.22,37.96801042,0.11,"715 ms","5-",4.91672,-3.9591,-2.9371,-7.674316
" ",20,18,38,"Ar ","    ",-34714.82,0.19,8614.28,0.005,"  ","*","*",37.962732100000004,0.21,"stable","0+",-5.91407,-5.93872,-4.91672,-7.208046
" ",19,19,38,"K  ","    ",-28800.75,0.2,8438.058,0.005,"B+",5914.07,0.04,37.96908112,0.21,"7.636 m","3+",-6.74225,4.89207,5.91407,-6.785586
" ",18,20,38,"Ca ","    ",-22058.5,0.19,8240.043,0.005,"B+",6742.26,0.06,37.976319229999994,0.21,"440 ms","0+",-17.8085,5.72025,6.74225,-6.105126
" ",17,21,38,"Sc ","   x",-4250.0,200.0,7751.0,5.0,"B+",17810.0,200.0,37.99544,220.0,"None","None",-15.12,16.7865,17.8085,-5.454916
" ",16,22,38,"Ti ","   x",10870.0,300.0,7332.0,8.0,"B+",15120.0,360.0,38.01167,320.0,"None","None",0.0,14.098,15.12,-5.404916
"0",27,12,39,"Mg ","  -n",42280.0,510.0,6747.0,13.0,"B-",21630.0,650.0,39.04538,550.0,"180 ns","",21.63,0.0,0.0,0.0
" ",26,13,39,"Al ","   x",20650.0,400.0,7281.0,10.0,"B-",18330.0,420.0,39.02217,430.0,"7.6 ms","",18.33,-22.652,-21.63,-20.004916
" ",25,14,39,"Si ","   x",2320.0,140.0,7731.0,3.0,"B-",15090.0,180.0,39.00249,150.0,"47.5 ms","(5/2-)",15.09,-19.352,-18.33,-15.744916
" ",24,15,39,"P  ","   x",-12770.0,110.0,8098.0,2.9,"B-",10390.0,120.0,38.98629,120.0,"0.28 s","(1/2+)",10.39,-16.112,-15.09,-14.970916
" ",23,16,39,"S  ","2p-n",-23160.0,50.0,8344.3,1.3,"B-",6640.0,50.0,38.97513,50.0,"11.5 s","(7/2)-",6.6402,-11.412,-10.39,-11.194916
" ",22,17,39,"Cl "," -nn",-29800.2,1.7,8494.4,0.04,"B-",3442.0,5.0,38.9680082,1.9,"55.6 m","3/2+",3.4418,-7.6622,-6.6402,-7.367316
" ",21,18,39,"Ar ","   +",-33242.0,5.0,8562.6,0.13,"B-",565.0,5.0,38.964313,5.0,"269 y","7/2-",0.56519,-4.4638,-3.4418,-6.820706
" ",20,19,39,"K  ","    ",-33807.19,0.005,8557.025,0.0,"  ","*","*",38.963706487,0.005,"stable","3/2+",-6.52449,-1.58719,-0.56519,-7.218576
" ",19,20,39,"Ca ","    ",-27282.7,0.6,8369.67,0.015,"B+",6524.5,0.6,38.9707108,0.6,"859.6 ms","3/2+",-13.1097,5.50249,6.52449,-6.660316
" ",18,21,39,"Sc ","2n-p",-14173.0,24.0,8013.5,0.6,"B+",13110.0,24.0,38.984785,26.0,"300 ns","(7/2-)",-16.373,12.0877,13.1097,-5.425016
" ",17,22,39,"Ti ","   x",2200.0,200.0,7574.0,5.0,"B+",16370.0,200.0,39.00236,220.0,"31 ms","(3/2+)",0.0,15.351,16.373,-5.014916
"0",28,12,40,"Mg ","   x",48350.0,500.0,6628.0,13.0,"B-",20760.0,640.0,40.05191,540.0,"170 ns","0+",20.76,0.0,0.0,0.0
" ",27,13,40,"Al ","   x",27590.0,400.0,7127.0,10.0,"B-",22160.0,530.0,40.02962,430.0,"260 ns","",22.16,-21.782,-20.76,-21.134916
" ",26,14,40,"Si ","   x",5430.0,350.0,7662.0,9.0,"B-",13540.0,380.0,40.00583,370.0,"33.0 ms","0+",13.54,-23.182,-22.16,-17.374916
" ",25,15,40,"P  ","   x",-8110.0,150.0,7981.0,4.0,"B-",14720.0,150.0,39.99129,160.0,"153 ms","(2-,3-)",14.728,-14.562,-13.54,-16.484916
" ",24,16,40,"S  ","    ",-22838.0,4.0,8329.32,0.1,"B-",4720.0,30.0,39.975483,4.0,"8.8 s","0+",4.722,-15.75,-14.728,-12.822916
" ",23,17,40,"Cl ","   +",-27560.0,30.0,8427.8,0.8,"B-",7480.0,30.0,39.97042,30.0,"1.35 m","2-",7.4798946,-5.744,-4.722,-9.733916
" ",22,18,40,"Ar ","    ",-35039.8946,0.0022,8595.259,0.0,"B-",-1504.4,0.06,39.9623831238,0.0024,"stable","0+",-1.5044046,-8.5018946,-7.4798946,-6.8006806
" ",21,19,40,"K  ","    ",-33535.49,0.06,8538.09,0.001,"B-",1310.89,0.06,39.96399817,0.06,"1.248e+9 y","4-",1.310894,0.4824046,1.5044046,-6.438396
" ",20,20,40,"Ca ","    ",-34846.384,0.021,8551.303,0.001,"  ","*","*",39.962590866,0.022,"stable","0+",-14.323084,-2.332894,-1.310894,-7.03976
" ",19,21,40,"Sc ","   -",-20523.3,2.8,8173.67,0.07,"B+",14323.0,2.8,39.977967,3.0,"182.3 ms","4-",-11.6733,13.301084,14.323084,-5.531116
" ",18,22,40,"Ti ","  --",-8850.0,160.0,7862.0,4.0,"B+",11670.0,160.0,39.9905,170.0,"53.3 ms","0+",-21.02,10.6513,11.6733,-4.824916
" ",17,23,40,"V  ","   x",12170.0,300.0,7317.0,7.0,"B+",21020.0,340.0,40.01307,320.0,"None","None",0.0,19.998,21.02,-5.604916
"0",28,13,41,"Al ","   x",33420.0,500.0,7008.0,12.0,"B-",21300.0,750.0,41.03588,540.0,"None","None",21.3,0.0,0.0,-22.534916
" ",27,14,41,"Si ","   x",12120.0,550.0,7509.0,14.0,"B-",17100.0,570.0,41.01301,600.0,"20.0 ms","",17.1,-22.322,-21.3,-18.514916
" ",26,15,41,"P  ","   x",-4980.0,120.0,7906.6,2.9,"B-",14030.0,120.0,40.99465,130.0,"101 ms","",14.029,-18.122,-17.1,-17.214916
" ",25,16,41,"S  ","   x",-19009.0,4.0,8229.64,0.1,"B-",8300.0,70.0,40.979593,4.0,"1.99 s","",8.301,-15.051,-14.029,-14.863916
" ",24,17,41,"Cl ","   x",-27310.0,70.0,8413.0,1.7,"B-",5760.0,70.0,40.97068,70.0,"38.4 s","(1/2+)",5.7575,-9.323,-8.301,-10.734916
